Dataset,Approach,H,C,V,ARI,AMI
bcw,OPF,$0.1858 \pm 0.1555$,$0.5893 \pm 0.2848$,$0.2239 \pm 0.1747$,$0.2056 \pm 0.1776$,$0.2196 \pm 0.1729$
bcw,OPF$_{SNN}$,$\mathbf{0.5210 \pm 0.1312}$,$0.5567 \pm 0.1310$,$\mathbf{0.5375 \pm 0.1304}$,$\mathbf{0.6140 \pm 0.1383}$,$\mathbf{0.5342 \pm 0.1313}$
ccrf,OPF,$0.0052 \pm 0.0116$,$\mathbf{0.5547 \pm 0.5051}$,$0.0041 \pm 0.0087$,$-0.0028 \pm 0.0283$,$-0.0007 \pm 0.0072$
ccrf,OPF$_{SNN}$,$\mathbf{0.0198 \pm 0.0222}$,$0.0243 \pm 0.0320$,$\mathbf{0.0205 \pm 0.0252}$,$0.0169 \pm 0.0896$,$0.0071 \pm 0.0252$
digits,OPF,$0.8402 \pm 0.0285$,$0.8732 \pm 0.0219$,$0.8563 \pm 0.0241$,$0.7773 \pm 0.0421$,$0.8485 \pm 0.0252$
digits,OPF$_{SNN}$,$\mathbf{0.9175 \pm 0.0240}$,$\mathbf{0.9195 \pm 0.0226}$,$\mathbf{0.9185 \pm 0.0233}$,$\mathbf{0.8949 \pm 0.0358}$,$\mathbf{0.9139 \pm 0.0246}$
olivetti_faces,OPF,$0.0159 \pm 0.0266$,$\mathbf{0.9615 \pm 0.0814}$,$0.0299 \pm 0.0494$,$0.0013 \pm 0.0026$,$0.0103 \pm 0.0198$
olivetti_faces,OPF$_{SNN}$,$\mathbf{0.7020 \pm 0.0668}$,$0.8688 \pm 0.0223$,$\mathbf{0.7750 \pm 0.0460}$,$\mathbf{0.2577 \pm 0.0672}$,$\mathbf{0.4007 \pm 0.0651}$
