Dataset,Approach,DB-index,Silhouette score
frogs,OPF,$1.4506 \pm 0.0567$,$\mathbf{-0.0151 \pm 0.0113}$
frogs,OPF$_{SNN}$,$\mathbf{1.3655 \pm 0.0369}$,$-0.0616 \pm 0.0063$
google_reviews,OPF,$0.8955 \pm 0.0250$,$\mathbf{0.1960 \pm 0.0142}$
google_reviews,OPF$_{SNN}$,$\mathbf{0.8203 \pm 0.0219}$,$0.1736 \pm 0.0135$
