Dataset,Approach,H,C,V,ARI,AMI
bcw,OPF,$0.5370 \pm 0.0656$,$0.5822 \pm 0.0703$,$0.5584 \pm 0.0664$,$0.6372 \pm 0.0678$,$0.5552 \pm 0.0669$
bcw,OPF$_{SNN}$,$\mathbf{0.6022 \pm 0.0996}$,$0.6141 \pm 0.0966$,$\mathbf{0.6078 \pm 0.0976}$,$\mathbf{0.7075 \pm 0.0942}$,$\mathbf{0.6051 \pm 0.0983}$
ccrf,OPF,$0.0141 \pm 0.0192$,$0.1448 \pm 0.3084$,$0.0186 \pm 0.0276$,$0.0306 \pm 0.0661$,$0.0074 \pm 0.0277$
ccrf,OPF$_{SNN}$,$0.0184 \pm 0.0223$,$0.0249 \pm 0.0346$,$0.0196 \pm 0.0234$,$0.0306 \pm 0.0866$,$0.0060 \pm 0.0235$
digits,OPF,$0.9615 \pm 0.0142$,$0.9621 \pm 0.0137$,$0.9618 \pm 0.0139$,$0.9547 \pm 0.0187$,$0.9596 \pm 0.0147$
digits,OPF$_{SNN}$,$0.9657 \pm 0.0115$,$0.9661 \pm 0.0115$,$0.9659 \pm 0.0115$,$0.9604 \pm 0.0138$,$0.9640 \pm 0.0121$
olivetti_faces,OPF,$0.7564 \pm 0.0421$,$0.8570 \pm 0.0251$,$0.8031 \pm 0.0313$,$0.2874 \pm 0.0802$,$0.3943 \pm 0.0686$
olivetti_faces,OPF$_{SNN}$,$\mathbf{0.8480 \pm 0.0251}$,$\mathbf{0.8880 \pm 0.0204}$,$\mathbf{0.8674 \pm 0.0211}$,$\mathbf{0.4398 \pm 0.0758}$,$\mathbf{0.5263 \pm 0.0700}$
