Dataset,Approach,H,C,V,ARI,AMI
bcw,OPF,$0.0610 \pm 0.0984$,$\mathbf{0.8116 \pm 0.2964}$,$0.0785 \pm 0.1257$,$0.0679 \pm 0.1133$,$0.0764 \pm 0.1225$
bcw,OPF$_{SNN}$,$\mathbf{0.4839 \pm 0.1502}$,$0.5075 \pm 0.1567$,$\mathbf{0.4946 \pm 0.1524}$,$\mathbf{0.5755 \pm 0.1524}$,$\mathbf{0.4911 \pm 0.1534}$
ccrf,OPF,$0.0050 \pm 0.0116$,$\mathbf{0.5554 \pm 0.5043}$,$0.0043 \pm 0.0087$,$-0.0095 \pm 0.0242$,$-0.0007 \pm 0.0072$
ccrf,OPF$_{SNN}$,$\mathbf{0.0152 \pm 0.0157}$,$0.0689 \pm 0.2202$,$\mathbf{0.0160 \pm 0.0174}$,$\mathbf{0.0342 \pm 0.0742}$,$0.0035 \pm 0.0166$
digits,OPF,$0.8295 \pm 0.0221$,$0.8721 \pm 0.0251$,$0.8502 \pm 0.0224$,$0.7671 \pm 0.0353$,$0.8423 \pm 0.0236$
digits,OPF$_{SNN}$,$\mathbf{0.9121 \pm 0.0220}$,$\mathbf{0.9146 \pm 0.0204}$,$\mathbf{0.9134 \pm 0.0211}$,$\mathbf{0.8870 \pm 0.0333}$,$\mathbf{0.9085 \pm 0.0224}$
olivetti_faces,OPF,$0.0069 \pm 0.0171$,$\mathbf{0.9705 \pm 0.0798}$,$0.0132 \pm 0.0324$,$0.0005 \pm 0.0015$,$0.0042 \pm 0.0126$
olivetti_faces,OPF$_{SNN}$,$\mathbf{0.6798 \pm 0.0656}$,$0.8689 \pm 0.0212$,$\mathbf{0.7614 \pm 0.0473}$,$\mathbf{0.2413 \pm 0.0662}$,$\mathbf{0.3911 \pm 0.0555}$
