Dataset,Approach,H,C,V,ARI,AMI
bcw,OPF,$0.4321 \pm 0.0923$,$0.5268 \pm 0.0757$,$0.4738 \pm 0.0861$,$0.4931 \pm 0.1055$,$0.4698 \pm 0.0869$
bcw,OPF$_{SNN}$,$\mathbf{0.5002 \pm 0.0906}$,$0.5190 \pm 0.0867$,$0.5091 \pm 0.0879$,$\mathbf{0.6129 \pm 0.0907}$,$0.5057 \pm 0.0885$
ccrf,OPF,$0.0080 \pm 0.0127$,$0.2144 \pm 0.4043$,$0.0085 \pm 0.0165$,$0.0033 \pm 0.0456$,$0.0004 \pm 0.0156$
ccrf,OPF$_{SNN}$,$0.0128 \pm 0.0133$,$0.0194 \pm 0.0363$,$0.0142 \pm 0.0190$,$-0.0009 \pm 0.0647$,$0.0013 \pm 0.0191$
digits,OPF,$0.9107 \pm 0.0244$,$0.9159 \pm 0.0214$,$0.9133 \pm 0.0228$,$0.8769 \pm 0.0428$,$0.9083 \pm 0.0241$
digits,OPF$_{SNN}$,$\mathbf{0.9588 \pm 0.0131}$,$\mathbf{0.9592 \pm 0.0131}$,$\mathbf{0.9590 \pm 0.0131}$,$\mathbf{0.9500 \pm 0.0164}$,$\mathbf{0.9567 \pm 0.0138}$
olivetti_faces,OPF,$0.4100 \pm 0.0554$,$0.8144 \pm 0.0378$,$0.5430 \pm 0.0519$,$0.0558 \pm 0.0230$,$0.1990 \pm 0.0478$
olivetti_faces,OPF$_{SNN}$,$\mathbf{0.7915 \pm 0.0311}$,$\mathbf{0.8760 \pm 0.0186}$,$\mathbf{0.8313 \pm 0.0215}$,$\mathbf{0.3400 \pm 0.0523}$,$\mathbf{0.4583 \pm 0.0517}$
