Dataset,Approach,H,C,V,ARI,AMI
bcw,OPF,$0.2527 \pm 0.1482$,$0.5191 \pm 0.2224$,$0.2979 \pm 0.1611$,$0.2783 \pm 0.1753$,$0.2931 \pm 0.1602$
bcw,OPF$_{SNN}$,$\mathbf{0.5105 \pm 0.1524}$,$0.5332 \pm 0.1642$,$\mathbf{0.5213 \pm 0.1577}$,$\mathbf{0.6098 \pm 0.1575}$,$\mathbf{0.5180 \pm 0.1587}$
ccrf,OPF,$0.0049 \pm 0.0106$,$\mathbf{0.5548 \pm 0.5051}$,$0.0041 \pm 0.0083$,$-0.0045 \pm 0.0292$,$-0.0009 \pm 0.0069$
ccrf,OPF$_{SNN}$,$\mathbf{0.0197 \pm 0.0205}$,$0.0786 \pm 0.2205$,$\mathbf{0.0215 \pm 0.0248}$,$0.0217 \pm 0.0885$,$0.0093 \pm 0.0245$
digits,OPF,$0.8568 \pm 0.0260$,$0.8806 \pm 0.0228$,$0.8685 \pm 0.0234$,$0.7980 \pm 0.0421$,$0.8611 \pm 0.0247$
digits,OPF$_{SNN}$,$\mathbf{0.9238 \pm 0.0162}$,$\mathbf{0.9250 \pm 0.0165}$,$\mathbf{0.9244 \pm 0.0163}$,$\mathbf{0.9022 \pm 0.0258}$,$\mathbf{0.9202 \pm 0.0172}$
olivetti_faces,OPF,$0.0269 \pm 0.0315$,$\mathbf{0.9352 \pm 0.1176}$,$0.0502 \pm 0.0578$,$0.0017 \pm 0.0029$,$0.0148 \pm 0.0227$
olivetti_faces,OPF$_{SNN}$,$\mathbf{0.7264 \pm 0.0694}$,$0.8733 \pm 0.0233$,$\mathbf{0.7918 \pm 0.0492}$,$\mathbf{0.2875 \pm 0.0797}$,$\mathbf{0.4239 \pm 0.0737}$
