Dataset,Approach,H,C,V,ARI,AMI
bcw,OPF,$0.0260 \pm 0.0653$,$\mathbf{0.8992 \pm 0.2463}$,$0.0337 \pm 0.0835$,$0.0241 \pm 0.0589$,$0.0326 \pm 0.0809$
bcw,OPF$_{SNN}$,$\mathbf{0.5297 \pm 0.1479}$,$0.5680 \pm 0.1469$,$\mathbf{0.5477 \pm 0.1466}$,$\mathbf{0.6216 \pm 0.1493}$,$\mathbf{0.5445 \pm 0.1476}$
ccrf,OPF,$0.0028 \pm 0.0080$,$\mathbf{0.6597 \pm 0.4765}$,$0.0041 \pm 0.0126$,$0.0038 \pm 0.0315$,$0.0001 \pm 0.0111$
ccrf,OPF$_{SNN}$,$\mathbf{0.0190 \pm 0.0205}$,$0.0696 \pm 0.2204$,$\mathbf{0.0186 \pm 0.0219}$,$0.0099 \pm 0.0856$,$0.0066 \pm 0.0210$
digits,OPF,$0.8255 \pm 0.0235$,$0.8702 \pm 0.0250$,$0.8472 \pm 0.0236$,$0.7623 \pm 0.0375$,$0.8393 \pm 0.0248$
digits,OPF$_{SNN}$,$\mathbf{0.8949 \pm 0.0214}$,$\mathbf{0.8995 \pm 0.0201}$,$\mathbf{0.8972 \pm 0.0207}$,$\mathbf{0.8632 \pm 0.0332}$,$\mathbf{0.8914 \pm 0.0218}$
olivetti_faces,OPF,$0.0023 \pm 0.0103$,$\mathbf{1.0000 \pm 0.0000}$,$0.0044 \pm 0.0197$,$0.0002 \pm 0.0008$,$0.0017 \pm 0.0076$
olivetti_faces,OPF$_{SNN}$,$\mathbf{0.6575 \pm 0.0961}$,$0.8595 \pm 0.0185$,$\mathbf{0.7416 \pm 0.0689}$,$\mathbf{0.2205 \pm 0.0723}$,$\mathbf{0.3667 \pm 0.0594}$
