Dataset,Approach,H,C,V,ARI,AMI
bcw,OPF,$0.4386 \pm 0.0935$,$0.5257 \pm 0.0779$,$0.4769 \pm 0.0869$,$0.5052 \pm 0.1084$,$0.4729 \pm 0.0877$
bcw,OPF$_{SNN}$,$\mathbf{0.5594 \pm 0.0923}$,$\mathbf{0.5696 \pm 0.0922}$,$\mathbf{0.5643 \pm 0.0918}$,$\mathbf{0.6740 \pm 0.0811}$,$\mathbf{0.5613 \pm 0.0925}$
ccrf,OPF,$0.0080 \pm 0.0139$,$0.2141 \pm 0.4045$,$0.0085 \pm 0.0171$,$-0.0037 \pm 0.0458$,$0.0003 \pm 0.0162$
ccrf,OPF$_{SNN}$,$0.0129 \pm 0.0118$,$0.0146 \pm 0.0184$,$0.0128 \pm 0.0128$,$0.0127 \pm 0.0633$,$-0.0004 \pm 0.0128$
digits,OPF,$0.9435 \pm 0.0189$,$0.9448 \pm 0.0181$,$0.9441 \pm 0.0185$,$0.9274 \pm 0.0278$,$0.9410 \pm 0.0196$
digits,OPF$_{SNN}$,$\mathbf{0.9618 \pm 0.0113}$,$\mathbf{0.9623 \pm 0.0114}$,$\mathbf{0.9621 \pm 0.0114}$,$\mathbf{0.9552 \pm 0.0144}$,$\mathbf{0.9599 \pm 0.0120}$
olivetti_faces,OPF,$0.5820 \pm 0.0493$,$0.8133 \pm 0.0262$,$0.6775 \pm 0.0383$,$0.1227 \pm 0.0444$,$0.2517 \pm 0.0510$
olivetti_faces,OPF$_{SNN}$,$\mathbf{0.8139 \pm 0.0318}$,$\mathbf{0.8824 \pm 0.0211}$,$\mathbf{0.8466 \pm 0.0238}$,$\mathbf{0.3825 \pm 0.0732}$,$\mathbf{0.4894 \pm 0.0588}$
