Dataset,Approach,H,C,V,ARI,AMI
bcw,OPF,$0.3933 \pm 0.1023$,$0.4972 \pm 0.0835$,$0.4377 \pm 0.0967$,$0.4461 \pm 0.1290$,$0.4333 \pm 0.0977$
bcw,OPF$_{SNN}$,$\mathbf{0.5224 \pm 0.1000}$,$0.5427 \pm 0.1066$,$\mathbf{0.5321 \pm 0.1026}$,$\mathbf{0.6321 \pm 0.1110}$,$\mathbf{0.5289 \pm 0.1033}$
ccrf,OPF,$0.0039 \pm 0.0073$,$0.2559 \pm 0.4408$,$0.0038 \pm 0.0067$,$-0.0074 \pm 0.0240$,$-0.0039 \pm 0.0065$
ccrf,OPF$_{SNN}$,$\mathbf{0.0107 \pm 0.0103}$,$0.0120 \pm 0.0158$,$\mathbf{0.0108 \pm 0.0120}$,$0.0028 \pm 0.0569$,$-0.0024 \pm 0.0117$
digits,OPF,$0.8951 \pm 0.0234$,$0.9040 \pm 0.0218$,$0.8995 \pm 0.0224$,$0.8495 \pm 0.0423$,$0.8937 \pm 0.0237$
digits,OPF$_{SNN}$,$\mathbf{0.9464 \pm 0.0186}$,$\mathbf{0.9471 \pm 0.0184}$,$\mathbf{0.9467 \pm 0.0185}$,$\mathbf{0.9338 \pm 0.0249}$,$\mathbf{0.9437 \pm 0.0195}$
olivetti_faces,OPF,$0.2626 \pm 0.0783$,$0.8325 \pm 0.0429$,$0.3934 \pm 0.0855$,$0.0261 \pm 0.0203$,$0.1383 \pm 0.0474$
olivetti_faces,OPF$_{SNN}$,$\mathbf{0.7655 \pm 0.0400}$,$\mathbf{0.8800 \pm 0.0218}$,$\mathbf{0.8182 \pm 0.0265}$,$\mathbf{0.3249 \pm 0.0620}$,$\mathbf{0.4536 \pm 0.0512}$
