Dataset,Approach,H,C,V,ARI,AMI
bcw,OPF,$0.3928 \pm 0.0929$,$0.4965 \pm 0.0806$,$0.4376 \pm 0.0892$,$0.4456 \pm 0.1220$,$0.4332 \pm 0.0900$
bcw,OPF$_{SNN}$,$\mathbf{0.5459 \pm 0.1496}$,$\mathbf{0.5695 \pm 0.1490}$,$\mathbf{0.5572 \pm 0.1491}$,$\mathbf{0.6468 \pm 0.1565}$,$\mathbf{0.5541 \pm 0.1501}$
ccrf,OPF,$0.0070 \pm 0.0123$,$\mathbf{0.3059 \pm 0.4663}$,$0.0055 \pm 0.0095$,$-0.0083 \pm 0.0303$,$-0.0017 \pm 0.0089$
ccrf,OPF$_{SNN}$,$0.0113 \pm 0.0191$,$0.0192 \pm 0.0384$,$0.0133 \pm 0.0234$,$\mathbf{0.0305 \pm 0.0684}$,$0.0001 \pm 0.0235$
digits,OPF,$0.8813 \pm 0.0286$,$0.8955 \pm 0.0239$,$0.8883 \pm 0.0258$,$0.8290 \pm 0.0480$,$0.8820 \pm 0.0273$
digits,OPF$_{SNN}$,$\mathbf{0.9321 \pm 0.0243}$,$\mathbf{0.9329 \pm 0.0244}$,$\mathbf{0.9325 \pm 0.0244}$,$\mathbf{0.9159 \pm 0.0338}$,$\mathbf{0.9287 \pm 0.0257}$
olivetti_faces,OPF,$0.1298 \pm 0.0807$,$0.8234 \pm 0.1091$,$0.2144 \pm 0.1166$,$0.0106 \pm 0.0110$,$0.0695 \pm 0.0522$
olivetti_faces,OPF$_{SNN}$,$\mathbf{0.7593 \pm 0.0479}$,$\mathbf{0.8786 \pm 0.0190}$,$\mathbf{0.8138 \pm 0.0310}$,$\mathbf{0.3192 \pm 0.0642}$,$\mathbf{0.4482 \pm 0.0504}$
