Dataset,Approach,DB-index,Silhouette score
frogs,OPF,$\mathbf{1.5591 \pm 0.1115}$,$\mathbf{0.1118 \pm 0.0162}$
frogs,OPF$_{SNN}$,$1.7100 \pm 0.0538$,$-0.0045 \pm 0.0112$
google_reviews,OPF,$1.7303 \pm 0.0458$,$0.0836 \pm 0.0108$
google_reviews,OPF$_{SNN}$,$\mathbf{1.2599 \pm 0.0427}$,$\mathbf{0.1433 \pm 0.0152}$
