,run,n_clusters,distance,similarity,mae,rmse,ndcg@1,ndcg@5,ndcg@10,precision@1,precision@5,precision@10,recall@1,recall@5,recall@10
0,19,164,euclidean,pearson,0.7529126836241244,0.926179397390735,0.4262295081967213,0.43556370219735924,0.4523081136603156,0.5245901639344263,0.6550387596899224,0.6812830687830689,0.3114754098360656,0.35736434108527126,0.31861111111111107
0,19,39,euclidean,pearson,0.7107112191607237,0.8801224627105028,0.4262295081967213,0.48207266182009534,0.49748177978261693,0.36065573770491804,0.5162790697674418,0.5767989417989418,0.2786885245901639,0.3763565891472868,0.3914814814814815
0,19,21,euclidean,pearson,0.6036463569068554,0.7537268079953652,0.5573770491803278,0.5689688386340271,0.6118109483367953,0.4918032786885246,0.6705426356589148,0.7069312169312171,0.32786885245901637,0.3953488372093023,0.35148148148148156
0,19,12,euclidean,pearson,0.6074646899034769,0.7535447520572854,0.5737704918032787,0.6153192848987521,0.6274151034533906,0.47540983606557374,0.6782945736434108,0.6647089947089948,0.36065573770491804,0.43914728682170534,0.36175925925925934
0,19,8,euclidean,pearson,0.585065288439513,0.7291882045246213,0.5737704918032787,0.63869055772614,0.6385246649913648,0.5245901639344263,0.7527131782945738,0.7826984126984127,0.32786885245901637,0.45542635658914726,0.3431481481481482
0,19,11,euclidean,pearson,0.594129559866837,0.7366815239845865,0.5901639344262295,0.6119433258497173,0.6327654165354517,0.5409836065573771,0.689922480620155,0.7043386243386246,0.3770491803278688,0.42984496124031,0.36314814814814816
0,45219,18,squared_euclidean,pearson,0.6480930198272734,0.7770984961885247,0.47540983606557374,0.4756857573051575,0.4922253168985059,0.6065573770491803,0.6955284552845528,0.7189655172413792,0.3442622950819672,0.25691056910569104,0.2567733990147783
