,run,n_clusters,distance,similarity,mae,rmse,ndcg@1,ndcg@5,ndcg@10,precision@1,precision@5,precision@10,recall@1,recall@5,recall@10
0,19,114,euclidean,pearson,0.7003552159434977,0.8752699908461238,0.5081967213114754,0.4602169138943546,0.4643422928091857,0.5245901639344263,0.5775193798449613,0.6312037037037038,0.3770491803278688,0.3286821705426356,0.29685185185185176
0,19,38,euclidean,pearson,0.6427463451643021,0.8025356035614459,0.4918032786885246,0.49876911956511466,0.48501872199917445,0.39344262295081966,0.6023255813953489,0.6921957671957671,0.2459016393442623,0.374031007751938,0.333611111111111
0,19,21,euclidean,pearson,0.6056630311985709,0.7641966048286417,0.5245901639344263,0.5713698299903668,0.5853666177573854,0.5245901639344263,0.6697674418604651,0.7410185185185185,0.3442622950819672,0.4112403100775193,0.3571296296296297
0,19,14,euclidean,pearson,0.5911028122096794,0.7394608107303438,0.5573770491803278,0.600395699362299,0.6434984204307498,0.5081967213114754,0.6868217054263567,0.6865476190476193,0.3770491803278688,0.4507751937984496,0.3762037037037037
0,19,36,euclidean,pearson,0.6516399543228043,0.8212510123810687,0.39344262295081966,0.4862828029866988,0.4878400494910077,0.39344262295081966,0.6104651162790697,0.6973280423280425,0.22950819672131148,0.38139534883720927,0.3217592592592593
0,19,36,euclidean,pearson,0.6516399543228043,0.8212510123810687,0.39344262295081966,0.4862828029866988,0.4878400494910077,0.39344262295081966,0.6104651162790697,0.6973280423280425,0.22950819672131148,0.38139534883720927,0.3217592592592593
0,67816,33,squared_euclidean,pearson,0.6852568245532762,0.8454214684556112,0.4262295081967213,0.47879122870553176,0.5272989726512779,0.5409836065573771,0.5914414414414415,0.5626157407407407,0.29508196721311475,0.33783783783783783,0.3218419312169312
