,run,n_neighbors,similarity,mae,rmse,ndcg@1,ndcg@5,ndcg@10,precision@1,precision@5,precision@10,recall@1,recall@5,recall@10
0,19,10,pearson,0.7523601885668403,0.9383374607230094,0.3442622950819672,0.3764820867484901,0.3646875705693381,0.3770491803278688,0.4511627906976743,0.5027777777777778,0.29508196721311475,0.277906976744186,0.24898148148148147
0,19,20,pearson,0.7314326938964771,0.907626122278259,0.36065573770491804,0.42379199571039733,0.41909324945451076,0.3770491803278688,0.5240310077519379,0.5641005291005291,0.22950819672131148,0.3325581395348837,0.30740740740740746
0,19,30,pearson,0.7143877196530762,0.8791409729351095,0.4098360655737705,0.4237320380539366,0.43725767323332776,0.3770491803278688,0.4864341085271317,0.558015873015873,0.26229508196721313,0.3403100775193799,0.321111111111111
0,19,40,pearson,0.7033823523224261,0.8746109297037552,0.45901639344262296,0.45383672385755597,0.43996839556430406,0.47540983606557374,0.5108527131782945,0.5677777777777777,0.32786885245901637,0.34031007751937986,0.32249999999999995
0,19,50,pearson,0.6899256375220795,0.8584303928450268,0.5081967213114754,0.48223796311421685,0.45753975950278836,0.4918032786885246,0.5554263565891471,0.5764814814814814,0.3442622950819672,0.38333333333333325,0.34138888888888885
0,19,60,pearson,0.6856663505759263,0.8541991992809981,0.45901639344262296,0.46150338157848164,0.4623268239356019,0.4918032786885246,0.5550387596899226,0.5857936507936506,0.32786885245901637,0.3720930232558139,0.3293518518518519
0,67816,60,pearson,0.7987620587115414,0.9722945873681278,0.39344262295081966,0.45186567186156257,0.4930972117784344,0.4426229508196721,0.5346846846846847,0.5160714285714286,0.16393442622950818,0.2945945945945946,0.3431547619047619
