,run,kmax,kbest,nclusters,density,distance,similarity,mae,rmse,ndcg@1,ndcg@5,ndcg@10,precision@1,precision@5,precision@10,recall@1,recall@5,recall@10
0,86953,10,1,202,pdf,cosine,pearson,0.6978813866876008,0.8518162426421395,0.16393442622950818,0.2813795317752722,0.32272414746930933,0.45901639344262296,0.6158730158730158,0.6658045977011494,0.22950819672131148,0.23095238095238096,0.25522714833059656
0,86953,10,10,23,pdf,euclidean,pearson,0.5075977476591642,0.6384435845246296,0.4098360655737705,0.5612387136856611,0.5852941026142463,0.5573770491803278,0.7162698412698414,0.6637110016420361,0.3114754098360656,0.3861111111111112,0.37925561029009297
0,86953,10,10,125,pdf,jaccard,pearson,0.6420148454147091,0.8082160545822858,0.32786885245901637,0.45945942198481693,0.49798027898855524,0.4426229508196721,0.6293650793650792,0.6486863711001641,0.26229508196721313,0.31666666666666665,0.38812260536398463
0,86953,10,1,234,pdf,pearson,pearson,0.7217267202583563,0.8752130491153255,0.19672131147540983,0.2844004381304951,0.3044221928881335,0.5245901639344263,0.5686507936507936,0.5521072796934866,0.2459016393442623,0.2071428571428572,0.22791461412151068
0,86953,10,1,123,pdf,squared_euclidean,pearson,0.7157134678814988,0.8941003914432033,0.19672131147540983,0.2616406905449895,0.2961630287723526,0.5081967213114754,0.6198412698412697,0.6350574712643678,0.22950819672131148,0.24166666666666667,0.21122058018609746
0,86953,20,1,202,pdf,cosine,pearson,0.6978813866876008,0.8518162426421395,0.16393442622950818,0.2813795317752722,0.32272414746930933,0.45901639344262296,0.6158730158730158,0.6658045977011494,0.22950819672131148,0.23095238095238096,0.25522714833059656
0,86953,20,20,7,pdf,euclidean,pearson,0.5081715385678963,0.6386511583388438,0.39344262295081966,0.5326203241033249,0.5693389422930316,0.47540983606557374,0.7031746031746033,0.6778325123152709,0.2459016393442623,0.382936507936508,0.3988505747126436
0,86953,20,20,54,pdf,jaccard,pearson,0.5641938428574986,0.7233390988936494,0.2786885245901639,0.4814990939771796,0.48506373799188346,0.45901639344262296,0.6626984126984128,0.658415435139573,0.22950819672131148,0.3531746031746031,0.3774493705528187
0,86953,20,1,234,pdf,pearson,pearson,0.7217267202583563,0.8752130491153255,0.19672131147540983,0.2844004381304951,0.3044221928881335,0.5245901639344263,0.5686507936507936,0.5521072796934866,0.2459016393442623,0.2071428571428572,0.22791461412151068
0,86953,20,20,31,pdf,squared_euclidean,pearson,0.5012670099915914,0.6358155108107257,0.32786885245901637,0.5002824854854768,0.5538107182318776,0.639344262295082,0.725,0.6879036672140122,0.29508196721311475,0.34404761904761905,0.36787082649151615
