,run,kmax,kbest,nclusters,density,distance,similarity,mae,rmse,ndcg@1,ndcg@5,ndcg@10,precision@1,precision@5,precision@10,recall@1,recall@5,recall@10
0,95673,10,1,212,pdf,cosine,pearson,0.6746655095906969,0.8156167994952345,0.3442622950819672,0.3639739214261503,0.2141725481803066,0.5245901639344263,0.7640350877192982,0.7661111111111111,0.2459016393442623,0.3078947368421052,0.11933862433862433
0,95673,10,10,43,pdf,euclidean,pearson,0.4962196250355696,0.6054065257471439,0.4918032786885246,0.5639935849943839,0.5854258739441107,0.5901639344262295,0.7697368421052633,0.6026984126984127,0.3442622950819672,0.4228070175438596,0.29449735449735454
0,95673,10,10,136,pdf,jaccard,pearson,0.6594732018103223,0.7963954183861515,0.39344262295081966,0.4602901178260629,0.49876365956290464,0.4262295081967213,0.6929824561403508,0.6315343915343915,0.14754098360655737,0.4017543859649122,0.2584126984126984
0,95673,10,1,233,pdf,pearson,pearson,0.7770785153498082,0.9240874080366727,0.2459016393442623,0.302196305207904,0.27951837113930605,0.5737704918032787,0.7245614035087719,0.6711111111111111,0.18032786885245902,0.2719298245614035,0.14793650793650795
0,95673,10,4,106,pdf,squared_euclidean,pearson,0.47451891908983346,0.5848625782543685,0.45901639344262296,0.5760791539196651,0.5841840998694552,0.5409836065573771,0.7837719298245616,0.736111111111111,0.3114754098360656,0.45394736842105265,0.3529100529100529
0,95673,20,1,212,pdf,cosine,pearson,0.6746655095906969,0.8156167994952345,0.3442622950819672,0.3639739214261503,0.2141725481803066,0.5245901639344263,0.7640350877192982,0.7661111111111111,0.2459016393442623,0.3078947368421052,0.11933862433862433
0,95673,20,20,9,pdf,euclidean,pearson,0.5018638753429976,0.6076435407727514,0.47540983606557374,0.5846022094969817,0.5868170607151503,0.6065573770491803,0.78640350877193,0.6596296296296296,0.32786885245901637,0.4175438596491227,0.3078306878306878
0,95673,20,20,57,pdf,jaccard,pearson,0.6108446765230782,0.7312330009960802,0.36065573770491804,0.5181070940164998,0.5736322310883126,0.4918032786885246,0.7135964912280702,0.576984126984127,0.22950819672131148,0.38947368421052625,0.2761904761904762
0,95673,20,1,233,pdf,pearson,pearson,0.7770785153498082,0.9240874080366727,0.2459016393442623,0.302196305207904,0.27951837113930605,0.5737704918032787,0.7245614035087719,0.6711111111111111,0.18032786885245902,0.2719298245614035,0.14793650793650795
0,95673,20,20,43,pdf,squared_euclidean,pearson,0.4745087388381962,0.579941182004243,0.4918032786885246,0.5809675744631834,0.5923830198605223,0.5573770491803278,0.7903508771929825,0.7377777777777778,0.32786885245901637,0.45394736842105254,0.3433862433862434
0,95673,30,1,212,pdf,cosine,pearson,0.6746655095906969,0.8156167994952345,0.3442622950819672,0.3639739214261503,0.2141725481803066,0.5245901639344263,0.7640350877192982,0.7661111111111111,0.2459016393442623,0.3078947368421052,0.11933862433862433
0,95673,30,30,4,pdf,euclidean,pearson,0.5002791141722832,0.6066581038281744,0.45901639344262296,0.5803998327483874,0.5918966438322008,0.5737704918032787,0.7916666666666667,0.6596296296296296,0.29508196721311475,0.4228070175438596,0.3078306878306878
0,95673,30,30,27,pdf,jaccard,pearson,0.5687207752690996,0.6888688448393784,0.4262295081967213,0.5471079346749772,0.5747229538465288,0.5081967213114754,0.7153508771929825,0.62,0.3114754098360656,0.4241228070175438,0.2975661375661376
0,95673,30,1,233,pdf,pearson,pearson,0.7770785153498082,0.9240874080366727,0.2459016393442623,0.302196305207904,0.27951837113930605,0.5737704918032787,0.7245614035087719,0.6711111111111111,0.18032786885245902,0.2719298245614035,0.14793650793650795
0,95673,30,30,20,pdf,squared_euclidean,pearson,0.48546319038040764,0.5903296963693092,0.47540983606557374,0.5830663051464494,0.5944705976554435,0.5737704918032787,0.792982456140351,0.682962962962963,0.29508196721311475,0.4175438596491227,0.3144973544973545
0,95673,40,1,212,pdf,cosine,pearson,0.6746655095906969,0.8156167994952345,0.3442622950819672,0.3639739214261503,0.2141725481803066,0.5245901639344263,0.7640350877192982,0.7661111111111111,0.2459016393442623,0.3078947368421052,0.11933862433862433
0,95673,40,38,3,pdf,euclidean,pearson,0.500025581082688,0.6066272894736373,0.47540983606557374,0.5831440309387945,0.5944937819874251,0.5737704918032787,0.7916666666666667,0.6596296296296296,0.29508196721311475,0.4228070175438596,0.3078306878306878
0,95673,40,39,14,pdf,jaccard,pearson,0.5650737749191227,0.684375189417791,0.39344262295081966,0.5351036674915854,0.5484528091883658,0.5737704918032787,0.7416666666666668,0.5714285714285714,0.3442622950819672,0.4122807017543859,0.27375661375661375
0,95673,40,40,31,pdf,pearson,pearson,0.48299235980770694,0.5916287844113415,0.47540983606557374,0.5699591805084291,0.5966138502021665,0.5901639344262295,0.8179824561403509,0.704920634920635,0.3114754098360656,0.4412280701754386,0.32116402116402115
0,95673,40,39,13,pdf,squared_euclidean,pearson,0.48745225022919886,0.591991774641669,0.47540983606557374,0.5975758381506114,0.5823099320480064,0.6065573770491803,0.792982456140351,0.6762962962962963,0.32786885245901637,0.4175438596491227,0.30783068783068784
0,95673,50,1,212,pdf,cosine,pearson,0.6746655095906969,0.8156167994952345,0.3442622950819672,0.3639739214261503,0.2141725481803066,0.5245901639344263,0.7640350877192982,0.7661111111111111,0.2459016393442623,0.3078947368421052,0.11933862433862433
0,95673,50,50,2,pdf,euclidean,pearson,0.5046013011333822,0.6105605098066825,0.4918032786885246,0.5977052424422055,0.5817207826923728,0.6065573770491803,0.7978070175438596,0.68,0.32786885245901637,0.4228070175438596,0.2878306878306878
0,95673,50,49,7,pdf,jaccard,pearson,0.5489060075651626,0.6651173688084274,0.4262295081967213,0.5248737314236285,0.567239135801161,0.5901639344262295,0.7776315789473686,0.6777777777777778,0.3442622950819672,0.42412280701754385,0.2832804232804233
0,95673,50,50,17,pdf,pearson,pearson,0.4877700866466338,0.5928380118645595,0.47540983606557374,0.5881107510147249,0.5926244600457854,0.5901639344262295,0.7925438596491229,0.6818518518518518,0.3114754098360656,0.4228070175438596,0.32783068783068786
0,95673,50,49,9,pdf,squared_euclidean,pearson,0.4893483285212346,0.5935725581184745,0.47540983606557374,0.5914782581969069,0.547735534921147,0.6229508196721312,0.7903508771929826,0.6696296296296296,0.3442622950819672,0.4241228070175438,0.29449735449735454
0,95673,60,1,212,pdf,cosine,pearson,0.6746655095906969,0.8156167994952345,0.3442622950819672,0.3639739214261503,0.2141725481803066,0.5245901639344263,0.7640350877192982,0.7661111111111111,0.2459016393442623,0.3078947368421052,0.11933862433862433
0,95673,60,57,2,pdf,euclidean,pearson,0.5012855407309287,0.6074337265856368,0.4918032786885246,0.598298399344609,0.6072086997283971,0.6065573770491803,0.8026315789473685,0.6874074074074075,0.32786885245901637,0.4333333333333333,0.32783068783068786
0,95673,60,55,5,pdf,jaccard,pearson,0.5549820655441047,0.6724684833637316,0.4262295081967213,0.5447745168434791,0.5715610099322309,0.5901639344262295,0.762719298245614,0.6496296296296297,0.32786885245901637,0.40570175438596484,0.3094973544973545
0,95673,60,59,7,pdf,pearson,pearson,0.49666204232903177,0.6032749877313257,0.4918032786885246,0.5834508639097773,0.5952912457550357,0.5901639344262295,0.7793859649122808,0.6618518518518518,0.3114754098360656,0.4175438596491227,0.32783068783068786
0,95673,60,55,3,pdf,squared_euclidean,pearson,0.49937341908160243,0.6049141234724316,0.4918032786885246,0.6019948975178867,0.6029297431539306,0.6065573770491803,0.8004385964912281,0.6885185185185185,0.32786885245901637,0.4280701754385965,0.3078306878306878
