,run,kmax,kbest,nclusters,density,distance,similarity,mae,rmse,ndcg@1,ndcg@5,ndcg@10,precision@1,precision@5,precision@10,recall@1,recall@5,recall@10
0,93719,10,1,193,pdf,cosine,pearson,0.6849594636706401,0.8234322153149551,0.39344262295081966,0.3888799739359822,0.28144636508168197,0.45901639344262296,0.5732456140350877,0.6139355742296919,0.21311475409836064,0.2614035087719298,0.19642857142857142
0,93719,10,10,34,pdf,euclidean,pearson,0.528831390466369,0.6364534492387687,0.5901639344262295,0.689399183562056,0.5735548665068698,0.47540983606557374,0.761842105263158,0.7836834733893558,0.3770491803278688,0.5241228070175439,0.40882352941176464
0,93719,10,10,125,pdf,jaccard,pearson,0.6395138121241659,0.7769899266092869,0.45901639344262296,0.5922266540612522,0.49693400911400626,0.4918032786885246,0.7175438596491228,0.7314659197012138,0.2786885245901639,0.4127192982456141,0.2777310924369748
0,93719,10,1,258,pdf,pearson,pearson,0.7334588708325378,0.878696854692748,0.3114754098360656,0.3589088067765231,0.3044723753990281,0.47540983606557374,0.6921052631578948,0.6197712418300654,0.13114754098360656,0.20175438596491227,0.20252100840336132
0,93719,10,7,90,pdf,squared_euclidean,pearson,0.5191955926371323,0.6308529607876379,0.5737704918032787,0.6723252314005618,0.5759493555809587,0.5409836065573771,0.8092105263157896,0.7467320261437909,0.4098360655737705,0.5302631578947369,0.3964985994397759
0,93719,20,1,193,pdf,cosine,pearson,0.6849594636706401,0.8234322153149551,0.39344262295081966,0.3888799739359822,0.28144636508168197,0.45901639344262296,0.5732456140350877,0.6139355742296919,0.21311475409836064,0.2614035087719298,0.19642857142857142
0,93719,20,20,9,pdf,euclidean,pearson,0.5246963206174847,0.631881553183149,0.6065573770491803,0.7023729102667803,0.5797000388842948,0.5081967213114754,0.7605263157894738,0.7841503267973857,0.3770491803278688,0.518859649122807,0.3964985994397759
0,93719,20,20,53,pdf,jaccard,pearson,0.5931869602669357,0.7142513298961384,0.6229508196721312,0.6488367399069436,0.5473614813765351,0.47540983606557374,0.7653508771929824,0.6808823529411765,0.32786885245901637,0.47412280701754383,0.3357142857142857
0,93719,20,1,258,pdf,pearson,pearson,0.7334588708325378,0.878696854692748,0.3114754098360656,0.3589088067765231,0.3044723753990281,0.47540983606557374,0.6921052631578948,0.6197712418300654,0.13114754098360656,0.20175438596491227,0.20252100840336132
0,93719,20,19,41,pdf,squared_euclidean,pearson,0.5317923540256946,0.6417801293635488,0.6065573770491803,0.6783820988233508,0.5980724028259015,0.5245901639344263,0.8184210526315789,0.7818627450980392,0.36065573770491804,0.5065789473684211,0.3724089635854341
0,93719,30,1,193,pdf,cosine,pearson,0.6849594636706401,0.8234322153149551,0.39344262295081966,0.3888799739359822,0.28144636508168197,0.45901639344262296,0.5732456140350877,0.6139355742296919,0.21311475409836064,0.2614035087719298,0.19642857142857142
0,93719,30,30,6,pdf,euclidean,pearson,0.525167713735579,0.6304958320414018,0.6065573770491803,0.7058184300976081,0.5797000388842948,0.5081967213114754,0.775,0.787091503267974,0.3770491803278688,0.518859649122807,0.3964985994397759
0,93719,30,30,27,pdf,jaccard,pearson,0.5916807054439959,0.7185986651325322,0.5409836065573771,0.6345260391671443,0.519425965053967,0.39344262295081966,0.7767543859649123,0.6728758169934641,0.2786885245901639,0.4969298245614035,0.3376750700280112
0,93719,30,1,258,pdf,pearson,pearson,0.7334588708325378,0.878696854692748,0.3114754098360656,0.3589088067765231,0.3044723753990281,0.47540983606557374,0.6921052631578948,0.6197712418300654,0.13114754098360656,0.20175438596491227,0.20252100840336132
0,93719,30,30,20,pdf,squared_euclidean,pearson,0.5241782049534717,0.6300972093628248,0.5737704918032787,0.6990403813163272,0.5818209111317464,0.47540983606557374,0.7671052631578948,0.7691176470588235,0.3442622950819672,0.5162280701754386,0.3813725490196078
0,93719,40,1,193,pdf,cosine,pearson,0.6849594636706401,0.8234322153149551,0.39344262295081966,0.3888799739359822,0.28144636508168197,0.45901639344262296,0.5732456140350877,0.6139355742296919,0.21311475409836064,0.2614035087719298,0.19642857142857142
0,93719,40,38,4,pdf,euclidean,pearson,0.5252539285940914,0.6303707644382253,0.6229508196721312,0.7041341959472818,0.5787902750704205,0.5081967213114754,0.775,0.787091503267974,0.3770491803278688,0.518859649122807,0.3964985994397759
0,93719,40,40,14,pdf,jaccard,pearson,0.5538301004226006,0.6693228291405999,0.5737704918032787,0.6576407030547927,0.5497372797183465,0.4426229508196721,0.7548245614035087,0.7372549019607844,0.36065573770491804,0.532017543859649,0.41330532212885146
0,93719,40,38,25,pdf,pearson,pearson,0.5283694899952405,0.6363067835481735,0.5737704918032787,0.6707174451748085,0.5761667239561358,0.5081967213114754,0.8131578947368422,0.7722689075630251,0.3442622950819672,0.511842105263158,0.34103641456582634
0,93719,40,40,9,pdf,squared_euclidean,pearson,0.5249698463360255,0.6313103286276044,0.6229508196721312,0.6847332899469658,0.5679045081193361,0.5245901639344263,0.7907894736842106,0.7827731092436976,0.39344262295081966,0.5030701754385966,0.3612044817927171
0,93719,50,1,193,pdf,cosine,pearson,0.6849594636706401,0.8234322153149551,0.39344262295081966,0.3888799739359822,0.28144636508168197,0.45901639344262296,0.5732456140350877,0.6139355742296919,0.21311475409836064,0.2614035087719298,0.19642857142857142
0,93719,50,49,3,pdf,euclidean,pearson,0.5292520383256565,0.6363900579443599,0.6065573770491803,0.6973381196026994,0.5670707501231104,0.4918032786885246,0.775,0.763655462184874,0.3770491803278688,0.5293859649122807,0.38725490196078427
0,93719,50,49,5,pdf,jaccard,pearson,0.5484205593684698,0.656370650207121,0.5901639344262295,0.6796332087389771,0.5605513230273154,0.5245901639344263,0.7649122807017544,0.7375816993464054,0.39344262295081966,0.4916666666666667,0.3813725490196078
0,93719,50,48,16,pdf,pearson,pearson,0.5268052406592095,0.6347359025863316,0.5737704918032787,0.6751590979122647,0.570282920959685,0.45901639344262296,0.8087719298245615,0.7823996265172736,0.32786885245901637,0.5083333333333332,0.35784313725490197
0,93719,50,50,9,pdf,squared_euclidean,pearson,0.53761802090555,0.6464612273866033,0.6229508196721312,0.6955024166883634,0.5730673332343748,0.47540983606557374,0.7842105263157896,0.7518907563025211,0.3442622950819672,0.518859649122807,0.39117647058823524
0,93719,60,1,193,pdf,cosine,pearson,0.6849594636706401,0.8234322153149551,0.39344262295081966,0.3888799739359822,0.28144636508168197,0.45901639344262296,0.5732456140350877,0.6139355742296919,0.21311475409836064,0.2614035087719298,0.19642857142857142
0,93719,60,51,3,pdf,euclidean,pearson,0.5349456834214401,0.6389958417742462,0.5901639344262295,0.680404011146026,0.5459456398035679,0.5081967213114754,0.7921052631578949,0.7695378151260506,0.3770491803278688,0.5083333333333333,0.3570028011204482
