,run,kmax,kbest,nclusters,density,distance,similarity,mae,rmse,ndcg@1,ndcg@5,ndcg@10,precision@1,precision@5,precision@10,recall@1,recall@5,recall@10
0,17219,10,9,352,pdf,cosine,pearson,0.8294823486353016,0.9932732635949185,0.35106382978723405,0.459735193923963,0.5257798054963223,0.43617021276595747,0.5687878787878787,0.6779195011337867,0.22340425531914893,0.3269696969696969,0.3342120181405895
0,17219,10,10,179,pdf,euclidean,pearson,0.7750659453026103,0.9325266139376129,0.43617021276595747,0.5267462616777762,0.5759866821029886,0.4787234042553192,0.6024242424242424,0.6783919123204838,0.2872340425531915,0.340909090909091,0.3326058201058201
0,17219,10,10,222,pdf,jaccard,pearson,0.7943960006830784,0.967873457652103,0.35106382978723405,0.4797206855215414,0.541023425166364,0.425531914893617,0.5751515151515151,0.6959656084656085,0.22340425531914893,0.35090909090909084,0.3624244142101284
0,17219,10,10,288,pdf,pearson,pearson,0.8140232620797038,0.9749409581272619,0.3404255319148936,0.4819504747365266,0.49584649117441965,0.39361702127659576,0.545151515151515,0.6541761148904005,0.2553191489361702,0.33575757575757575,0.3556122448979591
0,17219,10,10,247,pdf,squared_euclidean,pearson,0.7924214923512867,0.9317971124287358,0.4148936170212766,0.48573757736322615,0.5195010128828009,0.425531914893617,0.5621212121212119,0.6413643235071808,0.2765957446808511,0.3533333333333333,0.3064342403628118
0,17219,20,14,240,pdf,cosine,pearson,0.7283950012109011,0.8716487352995144,0.40425531914893614,0.49023205121929186,0.5369359159066546,0.425531914893617,0.5478787878787879,0.59786470143613,0.26595744680851063,0.3821212121212122,0.3791194255479971
0,17219,20,17,89,pdf,euclidean,pearson,0.7047676969786294,0.8449236593173212,0.44680851063829785,0.5264603263330505,0.6108421633938854,0.5425531914893617,0.6633333333333333,0.751719576719577,0.3191489361702128,0.36454545454545456,0.38060279667422525
0,17219,20,14,140,pdf,jaccard,pearson,0.7517664982605966,0.8947995064238509,0.4148936170212766,0.497826015193276,0.5514242269045418,0.4787234042553192,0.5818181818181817,0.667847694633409,0.24468085106382978,0.36212121212121207,0.35148337112622824
0,17219,20,18,175,pdf,pearson,pearson,0.7148962344604503,0.8610102263722227,0.3617021276595745,0.4970175268527936,0.5337233619823272,0.425531914893617,0.5436363636363636,0.651388888888889,0.3191489361702128,0.3193939393939394,0.34118480725623584
0,17219,20,18,139,pdf,squared_euclidean,pearson,0.7546291743406995,0.9186004237082369,0.3617021276595745,0.4796765039511151,0.5424854105254753,0.4574468085106383,0.6072727272727273,0.7232898715041574,0.22340425531914893,0.3293939393939393,0.3431783824640967
0,17219,30,25,138,pdf,cosine,pearson,0.6588746134039684,0.8037344124563904,0.44680851063829785,0.5625130714734591,0.6278674461088388,0.5,0.6775757575757577,0.7328420256991687,0.32978723404255317,0.376060606060606,0.38129251700680283
0,17219,30,28,56,pdf,euclidean,pearson,0.6949858154298618,0.8253430254080131,0.5319148936170213,0.6076926700148545,0.6566561371064892,0.574468085106383,0.683939393939394,0.8137755102040817,0.3191489361702128,0.3454545454545455,0.3777305366591081
0,17219,30,15,128,pdf,jaccard,pearson,0.7482328220425634,0.8932200333282231,0.3617021276595745,0.4802034248048917,0.5788756922665621,0.5,0.5766666666666667,0.6901360544217687,0.2553191489361702,0.33575757575757564,0.34275321239606954
0,17219,30,28,126,pdf,pearson,pearson,0.7382058454516114,0.8802414252065012,0.425531914893617,0.549728444867468,0.5805985552889096,0.4787234042553192,0.5833333333333333,0.6567271352985637,0.2978723404255319,0.3157575757575756,0.3358276643990929
