,run,kmax,kbest,nclusters,density,distance,similarity,mae,rmse,ndcg@1,ndcg@5,ndcg@10,precision@1,precision@5,precision@10,recall@1,recall@5,recall@10
0,53126,10,1,240,pdf,cosine,pearson,1.0211695231123843,1.1666683748455948,0.328125,0.39990781304449413,0.2999971170484822,0.453125,0.6628571428571429,0.7298245614035089,0.171875,0.4042857142857143,0.2421052631578947
0,53126,10,10,48,pdf,euclidean,pearson,0.9625807243001744,1.1354483898184111,0.625,0.7062598816909965,0.610429177854793,0.390625,0.6252380952380954,0.6725563909774436,0.21875,0.46285714285714286,0.3443609022556391
0,53126,10,10,34,pdf,jaccard,pearson,1.0361808053109105,1.1899483825127115,0.4375,0.44104843341748295,0.2759216843898749,0.484375,0.6695238095238096,0.7298245614035088,0.21875,0.3928571428571428,0.22105263157894733
0,53126,10,10,29,pdf,pearson,pearson,0.961976450430383,1.134839408369253,0.625,0.7062598816909965,0.610429177854793,0.390625,0.6252380952380954,0.6725563909774436,0.21875,0.46285714285714286,0.3443609022556391
0,53126,10,10,42,pdf,squared_euclidean,pearson,0.962531418957453,1.1352295881480317,0.625,0.7014147359013735,0.6009830144292237,0.390625,0.6157142857142858,0.6637844611528823,0.21875,0.4571428571428571,0.3390977443609023
0,53126,20,17,9,pdf,cosine,pearson,0.9619922387579092,1.1348603874848457,0.625,0.7062598816909965,0.610429177854793,0.390625,0.6252380952380954,0.6725563909774436,0.21875,0.46285714285714286,0.3443609022556391
0,53126,20,19,13,pdf,euclidean,pearson,0.9618159919308117,1.1347659140891884,0.625,0.7062598816909965,0.610429177854793,0.390625,0.6252380952380954,0.6725563909774436,0.21875,0.46285714285714286,0.3443609022556391
0,53126,20,16,21,pdf,jaccard,pearson,1.0132513553138411,1.1739285251612668,0.515625,0.5054802585165771,0.37700795283501215,0.40625,0.6228571428571429,0.6614035087719298,0.1875,0.41,0.2496240601503759
0,53126,20,16,14,pdf,pearson,pearson,0.961787362310238,1.1347674742083318,0.625,0.7062598816909965,0.610429177854793,0.390625,0.6252380952380954,0.6725563909774436,0.21875,0.46285714285714286,0.3443609022556391
0,53126,20,19,12,pdf,squared_euclidean,pearson,0.9619922387579092,1.1348603874848457,0.625,0.7062598816909965,0.610429177854793,0.390625,0.6252380952380954,0.6725563909774436,0.21875,0.46285714285714286,0.3443609022556391
0,53126,30,25,4,pdf,cosine,pearson,0.9617871344030352,1.134767448420179,0.625,0.7062598816909965,0.610429177854793,0.390625,0.6252380952380954,0.6725563909774436,0.21875,0.46285714285714286,0.3443609022556391
0,53126,30,19,13,pdf,euclidean,pearson,0.9618159919308117,1.1347659140891884,0.625,0.7062598816909965,0.610429177854793,0.390625,0.6252380952380954,0.6725563909774436,0.21875,0.46285714285714286,0.3443609022556391
0,53126,30,30,15,pdf,jaccard,pearson,1.0118800979642437,1.1705822895872149,0.5625,0.545694957273139,0.41420048844072593,0.375,0.5704761904761906,0.6046783625730994,0.203125,0.41,0.25488721804511283
0,53126,30,16,14,pdf,pearson,pearson,0.961787362310238,1.1347674742083318,0.625,0.7062598816909965,0.610429177854793,0.390625,0.6252380952380954,0.6725563909774436,0.21875,0.46285714285714286,0.3443609022556391
0,53126,30,25,6,pdf,squared_euclidean,pearson,0.9617871344030352,1.134767448420179,0.625,0.7062598816909965,0.610429177854793,0.390625,0.6252380952380954,0.6725563909774436,0.21875,0.46285714285714286,0.3443609022556391
0,53126,40,25,4,pdf,cosine,pearson,0.9617871344030352,1.134767448420179,0.625,0.7062598816909965,0.610429177854793,0.390625,0.6252380952380954,0.6725563909774436,0.21875,0.46285714285714286,0.3443609022556391
0,53126,40,19,13,pdf,euclidean,pearson,0.9618159919308117,1.1347659140891884,0.625,0.7062598816909965,0.610429177854793,0.390625,0.6252380952380954,0.6725563909774436,0.21875,0.46285714285714286,0.3443609022556391
0,53126,40,40,12,pdf,jaccard,pearson,1.0118635502751896,1.1701888773138545,0.546875,0.5305342904576212,0.40386250168029114,0.453125,0.6485714285714287,0.7087719298245613,0.234375,0.4214285714285714,0.26541353383458643
0,53126,40,16,14,pdf,pearson,pearson,0.961787362310238,1.1347674742083318,0.625,0.7062598816909965,0.610429177854793,0.390625,0.6252380952380954,0.6725563909774436,0.21875,0.46285714285714286,0.3443609022556391
0,53126,40,25,6,pdf,squared_euclidean,pearson,0.9617871344030352,1.134767448420179,0.625,0.7062598816909965,0.610429177854793,0.390625,0.6252380952380954,0.6725563909774436,0.21875,0.46285714285714286,0.3443609022556391
0,53126,50,25,4,pdf,cosine,pearson,0.9617871344030352,1.134767448420179,0.625,0.7062598816909965,0.610429177854793,0.390625,0.6252380952380954,0.6725563909774436,0.21875,0.46285714285714286,0.3443609022556391
0,53126,50,42,1,pdf,euclidean,pearson,0.9617871344030352,1.134767448420179,0.625,0.7062598816909965,0.610429177854793,0.390625,0.6252380952380954,0.6725563909774436,0.21875,0.46285714285714286,0.3443609022556391
0,53126,50,49,8,pdf,jaccard,pearson,1.0054055991449096,1.1629386811166142,0.59375,0.5952445696746091,0.45513556315085535,0.40625,0.6528571428571429,0.7222222222222223,0.1875,0.43285714285714283,0.27593984962406015
0,53126,50,16,14,pdf,pearson,pearson,0.961787362310238,1.1347674742083318,0.625,0.7062598816909965,0.610429177854793,0.390625,0.6252380952380954,0.6725563909774436,0.21875,0.46285714285714286,0.3443609022556391
0,53126,50,48,3,pdf,squared_euclidean,pearson,0.9617871344030352,1.134767448420179,0.625,0.7062598816909965,0.610429177854793,0.390625,0.6252380952380954,0.6725563909774436,0.21875,0.46285714285714286,0.3443609022556391
0,53126,60,25,4,pdf,cosine,pearson,0.9617871344030352,1.134767448420179,0.625,0.7062598816909965,0.610429177854793,0.390625,0.6252380952380954,0.6725563909774436,0.21875,0.46285714285714286,0.3443609022556391
