,run,kmax,kbest,nclusters,density,distance,similarity,mae,rmse,ndcg@1,ndcg@5,ndcg@10,precision@1,precision@5,precision@10,recall@1,recall@5,recall@10
0,99683,10,10,217,pdf,cosine,pearson,0.740594349931326,0.8964425437819346,0.39344262295081966,0.4574720058755275,0.3778461183840969,0.3770491803278688,0.565530303030303,0.6034979423868313,0.19672131147540983,0.3121212121212121,0.22732216343327455
0,99683,10,10,95,pdf,euclidean,pearson,0.7223092098532579,0.8680769080609902,0.4918032786885246,0.5289527977793563,0.47306426210696495,0.5245901639344263,0.6329545454545455,0.7432098765432099,0.29508196721311475,0.3181818181818182,0.2876837154614933
0,99683,10,6,251,pdf,jaccard,pearson,0.7861629761393455,0.9555619105566623,0.39344262295081966,0.4932482173207929,0.4418318185741907,0.45901639344262296,0.6196969696969696,0.694268077601411,0.2459016393442623,0.3268939393939394,0.28950617283950614
0,99683,10,9,174,pdf,pearson,pearson,0.7340064106231297,0.8921848631470483,0.4426229508196721,0.4771768503404321,0.42314419946439547,0.45901639344262296,0.6151515151515153,0.7250146972369195,0.2786885245901639,0.3477272727272727,0.2767342739564962
0,99683,10,10,132,pdf,squared_euclidean,pearson,0.741166387472316,0.8995515435021036,0.45901639344262296,0.5092188604608702,0.41989606083898634,0.4262295081967213,0.6314393939393941,0.6197530864197531,0.21311475409836064,0.3340909090909091,0.2732804232804233
0,99683,20,20,99,pdf,cosine,pearson,0.7016294743853807,0.8495681068366282,0.4262295081967213,0.564800809327827,0.5175202700151913,0.4426229508196721,0.6681818181818182,0.7164609053497942,0.22950819672131148,0.38712121212121214,0.3414756025867136
0,99683,20,16,47,pdf,euclidean,pearson,0.7338640797575886,0.9017897933758214,0.4918032786885246,0.5273548341742743,0.48472467569985395,0.47540983606557374,0.5863636363636364,0.7227072310405643,0.3114754098360656,0.38219696969696976,0.33843327454438565
0,99683,20,14,111,pdf,jaccard,pearson,0.7295758939629324,0.8781463899109588,0.5245901639344263,0.5469796542950983,0.4655314913787069,0.4918032786885246,0.6931818181818182,0.7021164021164021,0.26229508196721313,0.34848484848484845,0.2725749559082893
0,99683,20,20,73,pdf,pearson,pearson,0.6972950795409945,0.8365677216267879,0.4918032786885246,0.5369059483923464,0.4598871183679473,0.5573770491803278,0.631818181818182,0.7040564373897708,0.3114754098360656,0.3234848484848485,0.29735449735449737
0,99683,20,19,57,pdf,squared_euclidean,pearson,0.7058149864721419,0.8551031048030316,0.4262295081967213,0.5120434011844232,0.49532422556377836,0.47540983606557374,0.6147727272727274,0.6406378600823045,0.2786885245901639,0.37575757575757573,0.281114050558495
0,99683,30,30,67,pdf,cosine,pearson,0.7051996936353111,0.8430214865181426,0.45901639344262296,0.5821026683348,0.5251554191668457,0.3770491803278688,0.6553030303030304,0.7095825984714875,0.26229508196721313,0.4106060606060606,0.35229276895943556
0,99683,30,25,33,pdf,euclidean,pearson,0.6667987280031444,0.8045795770952507,0.5409836065573771,0.5377263425718746,0.4660465353723331,0.47540983606557374,0.7132575757575756,0.7680041152263374,0.19672131147540983,0.33295454545454545,0.3012198706643151
0,99683,30,30,32,pdf,jaccard,pearson,0.6971942942297366,0.8313979514333661,0.6557377049180327,0.6398410499286951,0.5972677166224999,0.5245901639344263,0.7178030303030302,0.7930041152263375,0.32786885245901637,0.3814393939393939,0.3174750146972369
0,99683,30,30,55,pdf,pearson,pearson,0.6957136724699806,0.8476734898706455,0.5081967213114754,0.5492517468416233,0.49829761025306174,0.4262295081967213,0.6731060606060607,0.7100823045267489,0.2459016393442623,0.371969696969697,0.3157113462669018
0,99683,30,23,49,pdf,squared_euclidean,pearson,0.6528989656074441,0.8048361792931182,0.5409836065573771,0.6147788527989437,0.4975495311415629,0.5409836065573771,0.6185606060606061,0.6131687242798355,0.32786885245901637,0.33371212121212124,0.28755144032921814
0,99683,40,40,51,pdf,cosine,pearson,0.6928132661991154,0.835482484866767,0.5081967213114754,0.589888713533412,0.523383640948574,0.4918032786885246,0.6178030303030302,0.6309670781893004,0.2786885245901639,0.32651515151515154,0.2504556143445032
0,99683,40,32,20,pdf,euclidean,pearson,0.6303131493503176,0.7715877316460797,0.5901639344262295,0.6231907825710614,0.5571672097693571,0.5245901639344263,0.7071969696969697,0.7405349794238683,0.3114754098360656,0.41325757575757577,0.3341416813639036
0,99683,40,21,67,pdf,jaccard,pearson,0.7341298692065,0.8761081220065184,0.5081967213114754,0.5374937600315217,0.45710947487291803,0.47540983606557374,0.6458333333333334,0.7185185185185186,0.26229508196721313,0.3268939393939394,0.2941651969429747
0,99683,40,37,38,pdf,pearson,pearson,0.650153340465423,0.8039061424476256,0.5409836065573771,0.6092086504333686,0.532455792190681,0.47540983606557374,0.6799242424242424,0.6652998236331569,0.3114754098360656,0.40946969696969704,0.32303057025279247
0,99683,40,30,28,pdf,squared_euclidean,pearson,0.6667372307349957,0.8194925424279935,0.5573770491803278,0.5756694350267997,0.514085168731976,0.4918032786885246,0.643939393939394,0.6752792475014698,0.29508196721311475,0.35681818181818187,0.28743386243386243
0,99683,50,50,43,pdf,cosine,pearson,0.6697363492804441,0.8180357701010198,0.5737704918032787,0.6064567946736905,0.5254030819255595,0.4918032786885246,0.6454545454545454,0.6606701940035274,0.29508196721311475,0.36098484848484846,0.31155202821869493
0,99683,50,21,33,pdf,euclidean,pearson,0.7113588075319426,0.8565612888214551,0.5901639344262295,0.6022343982615166,0.5659678224454565,0.47540983606557374,0.6344696969696969,0.7296296296296296,0.3114754098360656,0.37840909090909086,0.29479717813051143
