,run,kmax,kbest,nclusters,density,distance,similarity,mae,rmse,ndcg@1,ndcg@5,ndcg@10,precision@1,precision@5,precision@10,recall@1,recall@5,recall@10
0,39221,10,8,161,pdf,cosine,pearson,1.1200490983566174,1.28795497951401,0.28125,0.33185442786204117,0.2967583539617712,0.4375,0.5562500000000001,0.5900000000000001,0.1875,0.3125,0.29777777777777775
0,39221,10,8,155,pdf,euclidean,pearson,1.138389862657072,1.3133331468045744,0.328125,0.31421330323573743,0.23896075188685056,0.46875,0.65,0.7044444444444444,0.171875,0.28750000000000003,0.22722222222222216
0,39221,10,10,61,pdf,jaccard,pearson,1.1075782970914443,1.2782327170370305,0.375,0.48533149912400236,0.40332216837099805,0.4375,0.6265624999999999,0.6924999999999999,0.21875,0.3812499999999999,0.3127777777777777
0,39221,10,6,215,pdf,pearson,pearson,1.1489900633909012,1.321719567835673,0.28125,0.3094521443398879,0.2866775635747242,0.421875,0.56875,0.645,0.171875,0.30000000000000004,0.2677777777777777
0,39221,10,6,206,pdf,squared_euclidean,pearson,1.1502719605156744,1.3228869550753635,0.28125,0.31694329566791696,0.2610260735321752,0.4375,0.6,0.6833333333333333,0.1875,0.30625,0.2477777777777778
0,39221,20,16,80,pdf,cosine,pearson,1.1667284239188072,1.3389885032303266,0.3125,0.36198879981159354,0.3002769647031817,0.4375,0.615625,0.7244444444444444,0.203125,0.3374999999999999,0.29277777777777775
0,39221,20,19,101,pdf,euclidean,pearson,1.136144309749516,1.3072896117778523,0.25,0.29557531466913267,0.22677005413016765,0.46875,0.5791666666666667,0.645,0.203125,0.3,0.23777777777777778
0,39221,20,20,56,pdf,jaccard,pearson,1.1027124401743267,1.2802854512535329,0.421875,0.5501130486134148,0.5593049430760146,0.4375,0.5984374999999998,0.6783333333333333,0.25,0.41093749999999996,0.4177777777777778
0,39221,20,15,103,pdf,pearson,pearson,1.167344526991807,1.335534372342465,0.28125,0.333960943568101,0.288182371130531,0.453125,0.60625,0.6544444444444444,0.203125,0.34375000000000006,0.2772222222222222
0,39221,20,20,82,pdf,squared_euclidean,pearson,1.1138626598949115,1.2813452449165272,0.34375,0.3897040490305631,0.34005797306277485,0.53125,0.65625,0.6799999999999999,0.25,0.35624999999999996,0.30777777777777776
0,39221,30,22,74,pdf,cosine,pearson,1.116714570005625,1.2831083485374855,0.296875,0.34695637423840725,0.2710289507940689,0.515625,0.6875,0.6994444444444444,0.21875,0.35,0.2627777777777777
0,39221,30,29,88,pdf,euclidean,pearson,1.1249641055729902,1.3024342427189421,0.328125,0.34162286849421775,0.28857221507783615,0.5,0.575,0.5844444444444444,0.234375,0.3,0.23722222222222217
0,39221,30,29,57,pdf,jaccard,pearson,1.0742200878842354,1.2491799861459374,0.453125,0.5461805285372902,0.5779145432763306,0.421875,0.575,0.6849999999999999,0.25,0.42499999999999993,0.4177777777777778
0,39221,30,27,85,pdf,pearson,pearson,1.087690908615529,1.2546601109714426,0.375,0.4088389860376823,0.3854175494198112,0.453125,0.615625,0.68,0.234375,0.3749999999999999,0.33777777777777773
0,39221,30,27,79,pdf,squared_euclidean,pearson,1.1432786572774878,1.3087727953878914,0.328125,0.35161390969359785,0.29318784992142816,0.53125,0.6625000000000001,0.69,0.234375,0.33124999999999993,0.2677777777777777
