,run,kmax,kbest,nclusters,density,distance,similarity,mae,rmse,ndcg@1,ndcg@5,ndcg@10,precision@1,precision@5,precision@10,recall@1,recall@5,recall@10
0,76399,10,10,124,pdf,cosine,pearson,1.0657452434218104,1.234088843055938,0.28125,0.2770997624698258,0.180825393178376,0.46875,0.5333333333333333,0.4722222222222222,0.203125,0.2783333333333333,0.14876543209876544
0,76399,10,9,129,pdf,euclidean,pearson,1.0609537490620222,1.2350984664278373,0.34375,0.2847566707443667,0.18450618337028654,0.5,0.5533333333333333,0.5388888888888889,0.21875,0.2633333333333333,0.15987654320987657
0,76399,10,10,66,pdf,jaccard,pearson,1.0145039095522717,1.1913570056298126,0.453125,0.4667662925268753,0.4238433053899206,0.53125,0.58,0.6277777777777778,0.296875,0.33,0.28348765432098766
0,76399,10,6,223,pdf,pearson,pearson,1.0458628615542795,1.2138556236252904,0.359375,0.3357771922768918,0.2810359700189525,0.484375,0.58,0.6000000000000001,0.21875,0.2966666666666667,0.2279320987654321
0,76399,10,7,166,pdf,squared_euclidean,pearson,1.0542526642187702,1.2221426005023535,0.3125,0.34854879155535834,0.23852428650077817,0.5,0.5800000000000001,0.5555555555555556,0.21875,0.29000000000000004,0.17654320987654323
0,76399,20,12,97,pdf,cosine,pearson,1.0550478165045978,1.232988963608617,0.34375,0.28104523247010577,0.20474855822959112,0.453125,0.52,0.5333333333333333,0.21875,0.26999999999999996,0.1682098765432099
0,76399,20,20,99,pdf,euclidean,pearson,1.0288798717299992,1.2093289660896145,0.390625,0.31387368526247617,0.21522999858945852,0.46875,0.5600000000000002,0.6055555555555556,0.25,0.2833333333333333,0.18348765432098768
0,76399,20,20,57,pdf,jaccard,pearson,0.9904946207645495,1.161117085860492,0.421875,0.4878671616868923,0.4465197177483968,0.453125,0.5577777777777778,0.6092592592592594,0.25,0.33833333333333326,0.3001543209876543
0,76399,20,14,101,pdf,pearson,pearson,1.0540594126248382,1.2214855006092857,0.3125,0.29050839474402856,0.21390854414060076,0.5,0.6100000000000001,0.6277777777777778,0.21875,0.2833333333333333,0.17793209876543212
0,76399,20,20,79,pdf,squared_euclidean,pearson,1.0533519543937038,1.2218135277031592,0.296875,0.27332326172632215,0.1956410870083513,0.53125,0.6266666666666668,0.661111111111111,0.21875,0.26999999999999996,0.17098765432098767
0,76399,30,21,77,pdf,cosine,pearson,1.0501601524211175,1.2193318362373742,0.328125,0.28880106658674565,0.2018335806633585,0.515625,0.6,0.5888888888888889,0.234375,0.2833333333333333,0.15987654320987654
0,76399,30,25,93,pdf,euclidean,pearson,1.0357077106589967,1.2111167173204176,0.34375,0.29606201092015394,0.2005907938277786,0.46875,0.5600000000000002,0.6055555555555556,0.234375,0.2766666666666666,0.18209876543209877
0,76399,30,30,53,pdf,jaccard,pearson,0.9999769145102736,1.1784365551922722,0.421875,0.48547282785080004,0.4598667690550684,0.46875,0.5400000000000001,0.5796296296296296,0.265625,0.32333333333333336,0.2987654320987654
0,76399,30,23,91,pdf,pearson,pearson,1.0399208619305598,1.2136108018162197,0.34375,0.3095731517355826,0.21987724436577233,0.5,0.6100000000000001,0.6333333333333333,0.234375,0.28333333333333327,0.1820987654320988
0,76399,30,23,75,pdf,squared_euclidean,pearson,1.051649022333264,1.2205003009223925,0.328125,0.3015866121657902,0.2221336144331202,0.5,0.5933333333333335,0.6000000000000001,0.21875,0.2766666666666666,0.17098765432098767
0,76399,40,35,73,pdf,cosine,pearson,1.0509645960314067,1.2235118806099874,0.359375,0.35304835837728876,0.27140402003634245,0.4375,0.5666666666666667,0.5944444444444444,0.203125,0.2966666666666667,0.18719135802469136
0,76399,40,35,85,pdf,euclidean,pearson,1.039413407514117,1.2165327763427651,0.328125,0.29987608580530994,0.19767897373333354,0.4375,0.5666666666666667,0.6000000000000001,0.203125,0.2833333333333333,0.17098765432098767
0,76399,40,36,63,pdf,jaccard,pearson,1.029196878536967,1.2015963288611735,0.390625,0.46196462928999665,0.4131524929469328,0.4375,0.5216666666666667,0.5555555555555557,0.21875,0.30333333333333334,0.2598765432098765
0,76399,40,39,82,pdf,pearson,pearson,1.0313367433805032,1.2028075863980725,0.375,0.37048739882868187,0.2826529316833126,0.46875,0.62,0.7000000000000001,0.21875,0.31166666666666665,0.22793209876543205
0,76399,40,35,75,pdf,squared_euclidean,pearson,1.0645020823287774,1.2297641693872265,0.328125,0.28166819109559477,0.2005907938277786,0.515625,0.5933333333333335,0.6055555555555555,0.234375,0.2766666666666666,0.17654320987654323
0,76399,50,11,105,pdf,cosine,pearson,1.0664089717633196,1.2394252543145035,0.34375,0.3234466896077296,0.23610648243344728,0.4375,0.5333333333333333,0.47777777777777775,0.1875,0.28500000000000003,0.16358024691358025
0,76399,50,45,79,pdf,euclidean,pearson,1.0359238741666434,1.212572653383089,0.4375,0.43134947196110834,0.3661568590121262,0.421875,0.5399999999999999,0.6000000000000001,0.21875,0.29666666666666663,0.24043209876543203
0,76399,50,45,58,pdf,jaccard,pearson,0.9825185362410791,1.1601996813025328,0.453125,0.5098536717126522,0.44199782680695937,0.421875,0.5933333333333334,0.6138888888888889,0.25,0.37166666666666653,0.29459876543209873
0,76399,50,43,76,pdf,pearson,pearson,1.0460872227348896,1.2221798818245113,0.375,0.3304690274536443,0.2261358644904941,0.484375,0.61,0.6444444444444444,0.203125,0.285,0.17237654320987655
0,76399,50,13,84,pdf,squared_euclidean,pearson,1.054813046479273,1.2209273213776792,0.328125,0.2921234498918674,0.21078022745268973,0.515625,0.6,0.6111111111111112,0.21875,0.27666666666666667,0.1765432098765432
0,76399,60,23,76,pdf,cosine,pearson,1.0500665483734333,1.2200378479282092,0.390625,0.3482881782721963,0.2647107523153812,0.515625,0.6066666666666668,0.6000000000000001,0.234375,0.29,0.17098765432098767
0,76399,60,59,72,pdf,euclidean,pearson,1.0313191753163762,1.2097065080089169,0.4375,0.42530133884547117,0.40014253206859535,0.359375,0.5566666666666666,0.6166666666666667,0.171875,0.30999999999999994,0.2510802469135802
0,76399,60,20,57,pdf,jaccard,pearson,0.9904946207645495,1.161117085860492,0.421875,0.4878671616868923,0.4465197177483968,0.453125,0.5577777777777778,0.6092592592592594,0.25,0.33833333333333326,0.3001543209876543
0,76399,60,54,72,pdf,pearson,pearson,1.0391827771683462,1.2201255106916054,0.375,0.37304480836547926,0.2755931676025657,0.4375,0.5911111111111111,0.6000000000000001,0.203125,0.3116666666666666,0.20154320987654326
0,76399,60,59,60,pdf,squared_euclidean,pearson,1.0425033930581373,1.2194324921769994,0.375,0.35102109348096555,0.2789368806985963,0.5,0.5833333333333334,0.5833333333333334,0.25,0.29,0.18904320987654322
